,Location,Category,Gap.Area.Site
3,Private 1,EAB Gap,211.1
4,Private 1,Other Gap,124.9
1,Private 2,EAB Gap,127.6
2,Private 2,Other Gap,145.2
5,Private 3,EAB Gap,142.5
6,Private 3,Other Gap,105.6
11,Public 1,EAB Gap,124.1
12,Public 1,Other Gap,118.3
9,Public 2,EAB Gap,159.8
10,Public 2,Other Gap,115
7,Public 3,EAB Gap,166.1
8,Public 3,Other Gap,129.8
